id,name,grade,class,age
65,杨天佑,初一,初一2班,12
66,董欣怡,初一,初一2班,12
67,叶天佑,初一,初一2班,14
68,徐雨桐,初一,初一2班,14
69,蒋俊杰,初一,初一2班,12
70,董梓轩,初一,初一2班,14
71,罗雅婷,初一,初一2班,14
72,杜博文,初一,初一2班,13
73,田思琪,初一,初一2班,12
74,林思远,初一,初一2班,12
75,梁子涵,初一,初一2班,14
76,潘思远,初一,初一2班,14
77,胡子涵,初一,初一2班,12
78,魏梓涵,初一,初一2班,12
79,陈梓涵,初一,初一2班,13
80,陈佳琪,初一,初一2班,12
81,何天佑,初一,初一2班,12
82,董欣怡,初一,初一2班,14
83,袁诗涵,初一,初一2班,13
84,林天佑,初一,初一2班,13
85,马一诺,初一,初一2班,12
86,叶俊杰,初一,初一2班,13
87,冯俊杰,初一,初一2班,13
88,吕梓涵,初一,初一2班,14
89,杜一诺,初一,初一2班,12
90,许静怡,初一,初一2班,12
91,林梓轩,初一,初一2班,12
92,董思琪,初一,初一2班,12
93,冯宇轩,初一,初一2班,13
94,曹思远,初一,初一2班,12
95,邓文博,初一,初一2班,12
96,刘文博,初一,初一2班,12
97,杨思远,初一,初一2班,12
98,韩天佑,初一,初一2班,13
99,朱雅婷,初一,初一2班,12
100,徐雅婷,初一,初一2班,12
101,唐雨桐,初一,初一3班,13
102,高俊杰,初一,初一3班,14
103,吕文博,初一,初一3班,14
104,魏天佑,初一,初一3班,12
105,马明哲,初一,初一3班,12
106,刘诗涵,初一,初一3班,14
107,董梓涵,初一,初一3班,14
108,郑梓涵,初一,初一3班,12
109,蔡天佑,初一,初一3班,14
110,田宇轩,初一,初一3班,12
111,萧浩宇,初一,初一3班,12
112,陈志远,初一,初一3班,12
113,程思远,初一,初一3班,13
114,黄诗涵,初一,初一3班,12
115,蔡志远,初一,初一3班,12
116,余浩宇,初一,初一3班,13
117,叶诗涵,初一,初一3班,14
118,田静怡,初一,初一3班,13
119,朱静怡,初一,初一3班,12
120,郭雅婷,初一,初一3班,12
121,叶明哲,初一,初一3班,13
122,郑浩宇,初一,初一3班,12
123,曹志远,初一,初一3班,14
124,赵浩宇,初一,初一3班,14
125,朱佳琪,初一,初一3班,13
126,周博文,初一,初一3班,12
127,林博文,初一,初一3班,13
128,徐思琪,初一,初一3班,14
129,魏明哲,初一,初一3班,14
130,杜佳琪,初一,初一3班,12
131,叶文博,初一,初一3班,13
132,叶一诺,初一,初一3班,12
133,郭一诺,初一,初一3班,12
134,丁文博,初一,初一3班,12
135,何明哲,初一,初一3班,14
136,朱静怡,初一,初一3班,12
137,程雨桐,初一,初一3班,14
138,曾雨桐,初一,初一3班,12
139,杨俊杰,初一,初一3班,13
140,王子涵,初一,初一3班,13
141,周雨桐,初一,初一3班,12
142,丁思琪,初一,初一3班,14
143,魏俊杰,初一,初一3班,14
144,张一诺,初一,初一3班,12
145,苏欣怡,初一,初一3班,14
146,王博文,初一,初一3班,14
147,潘欣怡,初一,初一3班,13
148,周梓涵,初一,初一3班,13
149,宋梓涵,初一,初一3班,13
150,朱思远,初一,初一3班,14
151,赵博文,初一,初一4班,14
152,韩志远,初一,初一4班,14
153,吴思远,初一,初一4班,12
154,孙俊杰,初一,初一4班,12
155,孙静怡,初一,初一4班,13
156,叶思远,初一,初一4班,13
157,徐一诺,初一,初一4班,13
158,王天佑,初一,初一4班,12
159,马思琪,初一,初一4班,13
160,罗思远,初一,初一4班,12
161,李梓轩,初一,初一4班,13
162,梁雨桐,初一,初一4班,12
163,何博文,初一,初一4班,14
164,萧雅婷,初一,初一4班,14
165,董静怡,初一,初一4班,12
166,黄雨桐,初一,初一4班,12
167,蔡雨桐,初一,初一4班,12
168,赵志远,初一,初一4班,13
169,谢静怡,初一,初一4班,13
170,蒋佳琪,初一,初一4班,12
171,唐诗涵,初一,初一4班,12
172,郭梓涵,初一,初一4班,14
173,冯子涵,初一,初一4班,14
174,董梓轩,初一,初一4班,13
175,冯浩宇,初一,初一4班,14
176,梁志远,初一,初一4班,13
177,叶一诺,初一,初一4班,14
178,罗佳琪,初一,初一4班,13
179,叶俊杰,初一,初一4班,13
180,许明哲,初一,初一4班,14
181,周梓轩,初一,初一4班,13
182,叶雅婷,初一,初一4班,14
183,丁宇轩,初一,初一4班,14
184,袁明哲,初一,初一4班,13
185,潘子涵,初一,初一4班,13
186,高梓轩,初一,初一4班,13
187,蔡志远,初一,初一4班,14
188,郑思琪,初一,初一4班,13
189,邓梓轩,初一,初一4班,14
190,彭宇轩,初一,初一4班,14
191,杨明哲,初一,初一4班,14
192,叶志远,初一,初一4班,13
193,杨思远,初一,初一4班,14
194,罗思远,初一,初一4班,12
195,吴子涵,初一,初一4班,12
196,林天佑,初一,初一4班,14
197,陈思琪,初一,初一4班,13
198,于诗涵,初一,初一4班,12
199,魏雅婷,初一,初一4班,13
200,许思远,初一,初一4班,12
201,杜子涵,初一,初一5班,12
202,冯思远,初一,初一5班,12
203,苏佳琪,初一,初一5班,13
204,刘文博,初一,初一5班,12
205,黄思琪,初一,初一5班,12
206,曹佳琪,初一,初一5班,14
207,蒋静怡,初一,初一5班,13
208,余佳琪,初一,初一5班,13
209,潘思琪,初一,初一5班,12
210,丁天佑,初一,初一5班,13
211,郭思远,初一,初一5班,14
212,何佳琪,初一,初一5班,13
213,于思远,初一,初一5班,13
214,邓浩宇,初一,初一5班,14
215,高思远,初一,初一5班,13
216,梁静怡,初一,初一5班,14
217,杨欣怡,初一,初一5班,12
218,胡雅婷,初一,初一5班,14
219,吴梓轩,初一,初一5班,12
220,韩俊杰,初一,初一5班,13
221,董思琪,初一,初一5班,13
222,刘梓轩,初一,初一5班,13
223,唐诗涵,初一,初一5班,14
224,李诗涵,初一,初一5班,13
225,彭子涵,初一,初一5班,13
226,罗雅婷,初一,初一5班,13
227,董文博,初一,初一5班,14
228,胡天佑,初一,初一5班,12
229,何俊杰,初一,初一5班,13
230,李雅婷,初一,初一5班,13
231,叶雅婷,初一,初一5班,14
232,徐思琪,初一,初一5班,12
233,余文博,初一,初一5班,12
234,许诗涵,初一,初一5班,14
235,叶子涵,初一,初一5班,12
236,杜俊杰,初一,初一5班,12
237,曹宇轩,初一,初一5班,12
238,郭雅婷,初一,初一5班,13
239,朱思琪,初一,初一5班,13
240,梁雅婷,初一,初一5班,13
241,韩雨桐,初一,初一5班,12
242,彭子涵,初一,初一5班,14
243,董梓涵,初一,初一5班,13
244,胡浩宇,初一,初一5班,14
245,王子涵,初一,初一5班,12
246,马子涵,初一,初一5班,14
247,吴思远,初一,初一5班,12
248,彭一诺,初一,初一5班,14
249,朱思琪,初一,初一5班,14
250,郭博文,初一,初一5班,12
251,蒋志远,初一,初一6班,14
252,魏一诺,初一,初一6班,12
253,罗一诺,初一,初一6班,14
254,李明哲,初一,初一6班,14
255,程雅婷,初一,初一6班,13
256,魏梓轩,初一,初一6班,12
257,蔡思远,初一,初一6班,12
258,苏明哲,初一,初一6班,14
259,蒋一诺,初一,初一6班,14
260,王博文,初一,初一6班,14
261,冯博文,初一,初一6班,12
262,萧静怡,初一,初一6班,12
263,韩天佑,初一,初一6班,12
264,冯博文,初一,初一6班,14
265,曹欣怡,初一,初一6班,13
266,孙佳琪,初一,初一6班,14
267,何志远,初一,初一6班,14
268,彭思琪,初一,初一6班,13
269,吕诗涵,初一,初一6班,13
270,郑思远,初一,初一6班,12
271,何思琪,初一,初一6班,12
272,曹诗涵,初一,初一6班,14
273,叶雅婷,初一,初一6班,13
274,李天佑,初一,初一6班,13
275,孙天佑,初一,初一6班,12
276,谢雨桐,初一,初一6班,13
277,何志远,初一,初一6班,14
278,何文博,初一,初一6班,12
279,田梓轩,初一,初一6班,12
280,林俊杰,初一,初一6班,13
281,潘思远,初一,初一6班,14
282,彭天佑,初一,初一6班,13
283,李浩宇,初一,初一6班,13
284,胡雅婷,初一,初一6班,14
285,林明哲,初一,初一6班,14
286,蔡博文,初一,初一6班,13
287,潘佳琪,初一,初一6班,13
288,冯文博,初一,初一6班,13
289,谢思琪,初一,初一6班,13
290,罗雨桐,初一,初一6班,12
291,黄梓轩,初一,初一6班,13
292,黄文博,初一,初一6班,14
293,孙梓轩,初一,初一6班,12
294,丁天佑,初一,初一6班,13
295,吕诗涵,初一,初一6班,14
296,蒋明哲,初一,初一6班,12
297,马明哲,初一,初一6班,12
298,宋宇轩,初一,初一6班,13
299,张文博,初一,初一6班,12
300,何梓涵,初一,初一6班,12
301,潘明哲,初一,初一7班,14
302,周天佑,初一,初一7班,12
303,张诗涵,初一,初一7班,13
304,彭天佑,初一,初一7班,13
305,梁宇轩,初一,初一7班,12
306,郭天佑,初一,初一7班,12
307,陈雅婷,初一,初一7班,13
308,陈诗涵,初一,初一7班,14
309,程梓涵,初一,初一7班,12
310,吴诗涵,初一,初一7班,13
311,杨思远,初一,初一7班,12
312,潘俊杰,初一,初一7班,14
313,蒋志远,初一,初一7班,12
314,田雅婷,初一,初一7班,13
315,邓明哲,初一,初一7班,14
316,冯明哲,初一,初一7班,14
317,余梓涵,初一,初一7班,14
318,丁一诺,初一,初一7班,12
319,于梓轩,初一,初一7班,13
320,叶浩宇,初一,初一7班,12
321,林宇轩,初一,初一7班,14
322,陈宇轩,初一,初一7班,12
323,韩思琪,初一,初一7班,14
324,蒋天佑,初一,初一7班,13
325,王思远,初一,初一7班,13
326,魏明哲,初一,初一7班,14
327,曹浩宇,初一,初一7班,14
328,胡雨桐,初一,初一7班,14
329,蔡梓轩,初一,初一7班,13
330,黄文博,初一,初一7班,12
331,杜欣怡,初一,初一7班,13
332,吴浩宇,初一,初一7班,12
333,徐明哲,初一,初一7班,14
334,丁诗涵,初一,初一7班,13
335,邓一诺,初一,初一7班,13
336,苏明哲,初一,初一7班,14
337,许雨桐,初一,初一7班,14
338,董天佑,初一,初一7班,13
339,杨志远,初一,初一7班,12
340,冯静怡,初一,初一7班,14
341,郭子涵,初一,初一7班,12
342,胡诗涵,初一,初一7班,14
343,李雨桐,初一,初一7班,14
344,王宇轩,初一,初一7班,13
345,田思琪,初一,初一7班,13
346,孙诗涵,初一,初一7班,13
347,于天佑,初一,初一7班,12
348,彭博文,初一,初一7班,13
349,梁静怡,初一,初一7班,14
350,赵宇轩,初一,初一7班,13
351,韩天佑,初二,初二1班,14
352,叶雅婷,初二,初二1班,15
353,王思琪,初二,初二1班,13
354,郑雨桐,初二,初二1班,14
355,黄雅婷,初二,初二1班,15
356,张文博,初二,初二1班,14
357,韩梓涵,初二,初二1班,13
358,田博文,初二,初二1班,15
359,曾思琪,初二,初二1班,13
360,朱雨桐,初二,初二1班,15
361,周明哲,初二,初二1班,14
362,苏天佑,初二,初二1班,13
363,李志远,初二,初二1班,13
364,魏宇轩,初二,初二1班,14
365,潘子涵,初二,初二1班,15
366,韩浩宇,初二,初二1班,13
367,黄思琪,初二,初二1班,13
368,杜欣怡,初二,初二1班,14
369,魏明哲,初二,初二1班,15
370,魏雨桐,初二,初二1班,14
371,彭天佑,初二,初二1班,13
372,曹文博,初二,初二1班,13
373,唐梓轩,初二,初二1班,15
374,萧欣怡,初二,初二1班,13
375,何俊杰,初二,初二1班,14
376,萧雨桐,初二,初二1班,13
377,高明哲,初二,初二1班,15
378,蔡天佑,初二,初二1班,13
379,邓文博,初二,初二1班,14
380,谢静怡,初二,初二1班,15
381,董雅婷,初二,初二1班,14
382,郑梓轩,初二,初二1班,15
383,林诗涵,初二,初二1班,14
384,胡俊杰,初二,初二1班,13
385,郑天佑,初二,初二1班,15
386,唐雅婷,初二,初二1班,15
387,杜欣怡,初二,初二1班,14
388,王欣怡,初二,初二1班,15
389,蔡静怡,初二,初二1班,13
390,邓一诺,初二,初二1班,15
391,曹子涵,初二,初二1班,15
392,吴俊杰,初二,初二1班,15
393,吴浩宇,初二,初二1班,14
394,郭静怡,初二,初二1班,15
395,苏雅婷,初二,初二1班,15
396,杨静怡,初二,初二1班,15
397,董雅婷,初二,初二1班,14
398,于天佑,初二,初二1班,15
399,王志远,初二,初二1班,13
400,林明哲,初二,初二1班,13
401,丁浩宇,初二,初二2班,14
402,赵一诺,初二,初二2班,14
403,徐明哲,初二,初二2班,13
404,王静怡,初二,初二2班,13
405,高博文,初二,初二2班,14
406,冯欣怡,初二,初二2班,13
407,田俊杰,初二,初二2班,15
408,程宇轩,初二,初二2班,13
409,孙浩宇,初二,初二2班,15
410,唐志远,初二,初二2班,15
411,林天佑,初二,初二2班,15
412,吴思远,初二,初二2班,14
413,于雨桐,初二,初二2班,14
414,郭子涵,初二,初二2班,14
415,高文博,初二,初二2班,13
416,陈思琪,初二,初二2班,14
417,蔡明哲,初二,初二2班,15
418,冯雨桐,初二,初二2班,14
419,罗梓轩,初二,初二2班,14
420,彭一诺,初二,初二2班,13
421,唐诗涵,初二,初二2班,14
422,袁明哲,初二,初二2班,15
423,高子涵,初二,初二2班,15
424,许雨桐,初二,初二2班,13
425,袁梓涵,初二,初二2班,15
426,丁天佑,初二,初二2班,14
427,胡志远,初二,初二2班,14
428,胡梓轩,初二,初二2班,15
429,郭欣怡,初二,初二2班,15
430,赵梓涵,初二,初二2班,14
431,邓梓涵,初二,初二2班,15
432,宋欣怡,初二,初二2班,13
433,高静怡,初二,初二2班,15
434,韩宇轩,初二,初二2班,13
435,周文博,初二,初二2班,14
436,田佳琪,初二,初二2班,14
437,徐雨桐,初二,初二2班,14
438,高静怡,初二,初二2班,13
439,曹浩宇,初二,初二2班,13
440,胡雅婷,初二,初二2班,15
441,宋浩宇,初二,初二2班,14
442,张雨桐,初二,初二2班,15
443,黄思琪,初二,初二2班,14
444,程雨桐,初二,初二2班,15
445,唐博文,初二,初二2班,13
446,程思远,初二,初二2班,14
447,李志远,初二,初二2班,15
448,郑志远,初二,初二2班,13
449,杜浩宇,初二,初二2班,15
450,曹明哲,初二,初二2班,15
451,韩一诺,初二,初二3班,13
452,王梓涵,初二,初二3班,14
453,曾一诺,初二,初二3班,13
454,林文博,初二,初二3班,13
455,唐思琪,初二,初二3班,14
456,叶文博,初二,初二3班,14
457,蔡欣怡,初二,初二3班,14
458,杜一诺,初二,初二3班,14
459,余俊杰,初二,初二3班,14
460,王博文,初二,初二3班,13
461,邓思琪,初二,初二3班,13
462,宋一诺,初二,初二3班,15
463,宋文博,初二,初二3班,15
464,谢梓涵,初二,初二3班,14
465,何梓轩,初二,初二3班,13
466,曹浩宇,初二,初二3班,15
467,朱志远,初二,初二3班,13
468,刘静怡,初二,初二3班,13
469,周诗涵,初二,初二3班,13
470,陈文博,初二,初二3班,13
471,蔡梓轩,初二,初二3班,13
472,梁欣怡,初二,初二3班,15
473,张雨桐,初二,初二3班,13
474,周文博,初二,初二3班,14
475,孙一诺,初二,初二3班,15
476,李欣怡,初二,初二3班,13
477,谢思远,初二,初二3班,15
478,郑子涵,初二,初二3班,13
479,郭梓涵,初二,初二3班,13
480,丁俊杰,初二,初二3班,15
481,黄浩宇,初二,初二3班,14
482,邓博文,初二,初二3班,15
483,蔡一诺,初二,初二3班,14
484,萧思远,初二,初二3班,15
485,王佳琪,初二,初二3班,14
486,曹子涵,初二,初二3班,13
487,彭雅婷,初二,初二3班,14
488,程一诺,初二,初二3班,14
489,魏思琪,初二,初二3班,13
490,杨静怡,初二,初二3班,15
491,吴浩宇,初二,初二3班,13
492,何志远,初二,初二3班,15
493,蔡文博,初二,初二3班,15
494,郑雅婷,初二,初二3班,15
495,田明哲,初二,初二3班,14
496,萧志远,初二,初二3班,14
497,赵一诺,初二,初二3班,15
498,杜文博,初二,初二3班,15
499,朱俊杰,初二,初二3班,14
500,胡俊杰,初二,初二3班,14
501,曹雅婷,初二,初二4班,14
502,吕一诺,初二,初二4班,14
503,冯静怡,初二,初二4班,15
504,郭博文,初二,初二4班,13
505,程天佑,初二,初二4班,13
506,杨浩宇,初二,初二4班,13
507,冯一诺,初二,初二4班,15
508,丁博文,初二,初二4班,13
509,潘梓涵,初二,初二4班,15
510,潘文博,初二,初二4班,14
511,叶一诺,初二,初二4班,14
512,谢俊杰,初二,初二4班,15
513,刘明哲,初二,初二4班,15
514,罗博文,初二,初二4班,13
515,袁佳琪,初二,初二4班,13
516,吴天佑,初二,初二4班,13
517,赵博文,初二,初二4班,15
518,宋一诺,初二,初二4班,14
519,袁思远,初二,初二4班,14
520,潘志远,初二,初二4班,15
521,程文博,初二,初二4班,13
522,蒋雨桐,初二,初二4班,13
523,孙雨桐,初二,初二4班,15
524,罗静怡,初二,初二4班,14
525,张宇轩,初二,初二4班,13
526,袁雅婷,初二,初二4班,13
527,吴子涵,初二,初二4班,13
528,丁佳琪,初二,初二4班,13
529,唐俊杰,初二,初二4班,14
530,梁宇轩,初二,初二4班,14
531,罗静怡,初二,初二4班,15
532,蒋浩宇,初二,初二4班,13
533,吴宇轩,初二,初二4班,15
534,刘浩宇,初二,初二4班,14
535,邓俊杰,初二,初二4班,14
536,蒋思琪,初二,初二4班,14
537,何梓轩,初二,初二4班,15
538,黄博文,初二,初二4班,14
539,黄明哲,初二,初二4班,15
540,程诗涵,初二,初二4班,14
541,田明哲,初二,初二4班,13
542,胡雅婷,初二,初二4班,15
543,刘子涵,初二,初二4班,13
544,罗梓轩,初二,初二4班,13
545,郭明哲,初二,初二4班,14
546,黄子涵,初二,初二4班,14
547,丁俊杰,初二,初二4班,13
548,周雅婷,初二,初二4班,15
549,魏思远,初二,初二4班,15
550,潘博文,初二,初二4班,13
551,许梓涵,初二,初二5班,14
552,李思琪,初二,初二5班,13
553,郑诗涵,初二,初二5班,14
554,袁雅婷,初二,初二5班,15
555,于俊杰,初二,初二5班,14
556,黄雅婷,初二,初二5班,13
557,郑宇轩,初二,初二5班,15
558,曹博文,初二,初二5班,13
559,冯一诺,初二,初二5班,13
560,冯诗涵,初二,初二5班,14
561,田浩宇,初二,初二5班,14
562,罗静怡,初二,初二5班,13
563,梁宇轩,初二,初二5班,13
564,萧一诺,初二,初二5班,15
565,萧梓轩,初二,初二5班,14
566,谢欣怡,初二,初二5班,13
567,赵欣怡,初二,初二5班,14
568,马宇轩,初二,初二5班,15
569,吴浩宇,初二,初二5班,13
570,于天佑,初二,初二5班,14
571,袁诗涵,初二,初二5班,14
572,程诗涵,初二,初二5班,15
573,于志远,初二,初二5班,14
574,于静怡,初二,初二5班,13
575,邓浩宇,初二,初二5班,14
576,邓明哲,初二,初二5班,14
577,蔡梓涵,初二,初二5班,14
578,萧浩宇,初二,初二5班,14
579,曹思琪,初二,初二5班,13
580,刘博文,初二,初二5班,14
581,陈浩宇,初二,初二5班,15
582,蒋佳琪,初二,初二5班,14
583,曹诗涵,初二,初二5班,15
584,丁梓涵,初二,初二5班,14
585,袁梓轩,初二,初二5班,14
586,蒋天佑,初二,初二5班,15
587,吴梓涵,初二,初二5班,14
588,赵静怡,初二,初二5班,15
589,杨佳琪,初二,初二5班,15
590,孙梓涵,初二,初二5班,13
591,魏思琪,初二,初二5班,14
592,田佳琪,初二,初二5班,15
593,徐博文,初二,初二5班,14
594,高雅婷,初二,初二5班,14
595,梁志远,初二,初二5班,13
596,于静怡,初二,初二5班,13
597,梁一诺,初二,初二5班,15
598,程雅婷,初二,初二5班,14
599,郭志远,初二,初二5班,13
600,梁浩宇,初二,初二5班,15
601,叶欣怡,初二,初二6班,14
602,罗雅婷,初二,初二6班,13
603,蒋浩宇,初二,初二6班,14
604,潘雅婷,初二,初二6班,15
605,梁欣怡,初二,初二6班,15
606,苏佳琪,初二,初二6班,13
607,杜俊杰,初二,初二6班,15
608,宋子涵,初二,初二6班,14
609,罗宇轩,初二,初二6班,13
610,梁天佑,初二,初二6班,13
611,胡欣怡,初二,初二6班,13
612,陈明哲,初二,初二6班,13
613,萧文博,初二,初二6班,15
614,田梓涵,初二,初二6班,15
615,梁志远,初二,初二6班,13
616,蒋雅婷,初二,初二6班,13
617,徐宇轩,初二,初二6班,15
618,余宇轩,初二,初二6班,15
619,邓梓涵,初二,初二6班,14
620,宋思远,初二,初二6班,14
621,余明哲,初二,初二6班,15
622,邓思远,初二,初二6班,15
623,林明哲,初二,初二6班,14
624,马博文,初二,初二6班,15
625,袁思琪,初二,初二6班,14
626,高雅婷,初二,初二6班,15
627,田俊杰,初二,初二6班,13
628,马志远,初二,初二6班,13
629,郭梓涵,初二,初二6班,15
630,彭博文,初二,初二6班,15
631,赵佳琪,初二,初二6班,13
632,高浩宇,初二,初二6班,13
633,何思琪,初二,初二6班,15
634,吴俊杰,初二,初二6班,13
635,胡思琪,初二,初二6班,14
636,李俊杰,初二,初二6班,13
637,许佳琪,初二,初二6班,14
638,林雅婷,初二,初二6班,13
639,宋思远,初二,初二6班,13
640,郑一诺,初二,初二6班,15
641,杜静怡,初二,初二6班,13
642,周梓涵,初二,初二6班,14
643,彭欣怡,初二,初二6班,15
644,彭思琪,初二,初二6班,15
645,张浩宇,初二,初二6班,13
646,郭梓轩,初二,初二6班,13
647,潘志远,初二,初二6班,15
648,冯一诺,初二,初二6班,14
649,林明哲,初二,初二6班,13
650,刘思远,初二,初二6班,14
651,于志远,初二,初二7班,14
652,陈一诺,初二,初二7班,14
653,蒋文博,初二,初二7班,13
654,于佳琪,初二,初二7班,15
655,林欣怡,初二,初二7班,14
656,冯子涵,初二,初二7班,15
657,谢思远,初二,初二7班,15
658,韩宇轩,初二,初二7班,15
659,叶浩宇,初二,初二7班,15
660,宋浩宇,初二,初二7班,15
661,董佳琪,初二,初二7班,15
662,潘子涵,初二,初二7班,14
663,彭梓涵,初二,初二7班,15
664,唐博文,初二,初二7班,14
665,丁子涵,初二,初二7班,14
666,陈博文,初二,初二7班,13
667,吕一诺,初二,初二7班,15
668,丁静怡,初二,初二7班,13
669,王博文,初二,初二7班,15
670,梁宇轩,初二,初二7班,15
671,曹天佑,初二,初二7班,15
672,孙欣怡,初二,初二7班,13
673,魏思琪,初二,初二7班,13
674,高梓轩,初二,初二7班,13
675,马梓涵,初二,初二7班,14
676,罗佳琪,初二,初二7班,14
677,董天佑,初二,初二7班,14
678,王梓轩,初二,初二7班,14
679,谢梓涵,初二,初二7班,15
680,梁雨桐,初二,初二7班,13
681,宋俊杰,初二,初二7班,14
682,丁思琪,初二,初二7班,14
683,梁宇轩,初二,初二7班,14
684,苏天佑,初二,初二7班,14
685,田雨桐,初二,初二7班,13
686,吕俊杰,初二,初二7班,13
687,冯志远,初二,初二7班,13
688,董明哲,初二,初二7班,14
689,赵浩宇,初二,初二7班,14
690,叶明哲,初二,初二7班,14
691,邓志远,初二,初二7班,15
692,冯宇轩,初二,初二7班,15
693,邓博文,初二,初二7班,14
694,王博文,初二,初二7班,15
695,冯雨桐,初二,初二7班,15
696,刘浩宇,初二,初二7班,15
697,于雅婷,初二,初二7班,14
698,萧宇轩,初二,初二7班,13
699,吴志远,初二,初二7班,15
700,邓梓涵,初二,初二7班,13
701,陈思远,初三,初三1班,16
702,宋博文,初三,初三1班,15
703,袁梓涵,初三,初三1班,16
704,吴思琪,初三,初三1班,15
705,宋思琪,初三,初三1班,14
706,袁欣怡,初三,初三1班,16
707,宋雅婷,初三,初三1班,15
708,杜雨桐,初三,初三1班,14
709,黄子涵,初三,初三1班,16
710,孙天佑,初三,初三1班,16
711,唐文博,初三,初三1班,14
712,郭雨桐,初三,初三1班,16
713,邓梓轩,初三,初三1班,16
714,高天佑,初三,初三1班,14
715,黄欣怡,初三,初三1班,14
716,邓宇轩,初三,初三1班,16
717,邓浩宇,初三,初三1班,16
718,郑博文,初三,初三1班,16
719,陈文博,初三,初三1班,16
720,高明哲,初三,初三1班,14
721,魏宇轩,初三,初三1班,15
722,萧思远,初三,初三1班,14
723,马欣怡,初三,初三1班,14
724,曾子涵,初三,初三1班,15
725,潘诗涵,初三,初三1班,15
726,曹文博,初三,初三1班,14
727,余浩宇,初三,初三1班,14
728,罗雅婷,初三,初三1班,16
729,吕天佑,初三,初三1班,16
730,韩俊杰,初三,初三1班,16
731,陈欣怡,初三,初三1班,15
732,杜浩宇,初三,初三1班,15
733,曹佳琪,初三,初三1班,15
734,周文博,初三,初三1班,16
735,蔡宇轩,初三,初三1班,14
736,冯佳琪,初三,初三1班,14
737,黄佳琪,初三,初三1班,14
738,罗宇轩,初三,初三1班,14
739,郑思远,初三,初三1班,15
740,田明哲,初三,初三1班,14
741,郭梓轩,初三,初三1班,16
742,潘雨桐,初三,初三1班,14
743,于明哲,初三,初三1班,16
744,董浩宇,初三,初三1班,16
745,杜宇轩,初三,初三1班,16
746,蔡欣怡,初三,初三1班,14
747,叶志远,初三,初三1班,16
748,蒋静怡,初三,初三1班,16
749,王子涵,初三,初三1班,14
750,王诗涵,初三,初三1班,15
751,杜梓轩,初三,初三2班,16
752,韩志远,初三,初三2班,16
753,李天佑,初三,初三2班,16
754,董明哲,初三,初三2班,16
755,罗天佑,初三,初三2班,14
756,程雅婷,初三,初三2班,15
757,曹浩宇,初三,初三2班,16
758,刘宇轩,初三,初三2班,15
759,韩天佑,初三,初三2班,15
760,朱静怡,初三,初三2班,16
761,吴静怡,初三,初三2班,16
762,郑博文,初三,初三2班,15
763,周博文,初三,初三2班,16
764,潘一诺,初三,初三2班,15
765,林思琪,初三,初三2班,14
766,何思琪,初三,初三2班,14
767,吴一诺,初三,初三2班,14
768,高雅婷,初三,初三2班,16
769,韩思远,初三,初三2班,14
770,郑诗涵,初三,初三2班,16
771,郑梓轩,初三,初三2班,14
772,曾佳琪,初三,初三2班,15
773,曾明哲,初三,初三2班,15
774,李浩宇,初三,初三2班,15
